fare_amount,tip_amount,tolls_amount,mta_tax,tpep_dropoff_datetime,payment_type,cluster,VendorID,tpep_pickup_datetime,dropoff_latitude,passenger_count,RatecodeID,total_amount
9.0,2.05,0.0,0.5,7,1,0,1,0,40.74612808,1,1,12.35
11.0,3.05,0.0,0.5,11,1,0,1,0,40.73316574,1,1,15.35
23.5,5.06,0.0,0.5,0,1,2,2,0,40.7557869,5,1,30.36
23.0,0.0,0.0,0.5,0,2,2,2,0,0.0,6,1,24.3
20.5,0.0,0.0,0.5,16,3,2,1,0,40.71234512,1,1,21.8
5.5,2.0,0.0,0.5,5,1,0,1,0,40.76290131,1,1,8.8
23.5,3.2,0.0,0.5,22,1,2,2,0,40.79787827,3,1,28.0
4.0,0.0,0.0,0.5,2,2,0,2,0,40.75822449,2,1,5.3
8.0,0.0,0.0,0.5,7,2,0,1,0,40.7961998,1,1,9.3
5.5,2.2,0.0,0.5,3,1,0,1,0,40.79523849,1,1,9.0
9.0,2.06,0.0,0.5,9,1,0,2,0,40.77078247,1,1,12.36
27.0,5.66,0.0,0.5,22,1,2,2,0,40.81124115,1,1,33.96
8.5,2.0,0.0,0.5,8,1,0,2,0,40.70936584,1,1,11.8
11.0,0.0,0.0,0.5,9,2,0,1,0,40.75605011,1,1,12.3
8.0,1.86,0.0,0.5,8,1,0,2,0,40.75503922,1,1,11.16
4.5,1.15,0.0,0.5,3,1,0,1,0,40.72851944,2,1,6.95
5.5,0.0,0.0,0.5,6,2,0,1,0,40.745327,1,1,6.8
28.5,0.0,0.0,0.5,19,2,2,1,0,40.69843292,1,1,29.8
4.5,1.16,0.0,0.5,2,1,0,2,0,40.76818085,2,1,6.96
4.0,0.0,0.0,0.5,2,2,0,2,0,40.76319122,2,1,5.3
17.0,4.58,0.0,0.5,14,1,2,2,0,40.71472931,1,1,22.88
13.0,0.0,0.0,0.5,12,2,0,1,0,40.7098732,1,1,14.3
31.0,6.46,0.0,0.5,25,1,2,2,0,40.73888397,2,1,38.76
8.5,1.96,0.0,0.5,7,1,0,2,0,40.80764389,5,1,11.76
5.0,1.0,0.0,0.5,3,1,0,1,0,40.7256012,1,1,7.3
16.0,0.0,0.0,0.5,16,2,2,2,0,40.71889877,4,1,17.3
11.0,2.46,0.0,0.5,10,1,0,2,0,40.74494934,2,1,14.76
9.0,2.05,0.0,0.5,10,1,0,1,0,40.77451706,1,1,12.35
10.5,2.35,0.0,0.5,11,1,0,1,0,40.76950073,1,1,14.15
5.5,0.0,0.0,0.5,4,2,0,1,0,40.74866867,1,1,6.8
13.5,2.95,0.0,0.5,13,1,2,1,0,40.7482605,2,1,17.75
7.5,0.0,0.0,0.5,8,1,0,1,0,40.75423813,1,1,8.8
31.0,8.05,0.0,0.5,24,1,2,1,0,40.81702042,1,1,40.35
5.5,1.36,0.0,0.5,4,1,0,2,0,40.75777817,5,1,8.16
4.5,0.0,0.0,0.5,2,2,0,2,0,40.74949646,1,1,5.8
22.5,0.0,0.0,0.5,20,2,2,1,0,40.82696915,1,1,23.8
15.5,2.0,0.0,0.5,16,1,2,2,0,40.69771957,1,1,18.8
12.0,0.0,0.0,0.5,11,2,0,2,0,40.69564819,1,1,13.3
13.0,2.85,0.0,0.5,9,1,2,1,0,40.71282196,1,1,17.15
11.0,0.0,0.0,0.5,11,2,0,1,0,40.79317474,1,1,12.3
5.5,1.0,0.0,0.5,3,1,0,2,0,40.80535126,1,1,7.8
6.0,1.46,0.0,0.5,4,1,0,2,0,40.75498962,1,1,8.76
11.0,2.45,0.0,0.5,12,1,0,1,0,40.76400757,1,1,14.75
20.5,4.36,0.0,0.5,23,1,2,2,0,40.76110458,1,1,26.16
11.5,3.2,0.0,0.5,13,1,0,2,0,40.73071671,1,1,16.0
9.5,1.7,0.0,0.5,9,1,0,2,0,40.77806473,1,1,12.5
23.5,1.0,0.0,0.5,18,1,2,1,0,40.64998245,1,1,25.8
17.5,0.0,0.0,0.5,18,2,2,1,0,40.73448181,1,1,18.8
13.0,1.0,0.0,0.5,14,1,0,2,0,40.75173187,3,1,15.3
9.0,0.0,0.0,0.5,5,2,0,2,0,40.78313828,2,1,10.3
4.5,0.0,0.0,0.5,4,2,0,2,0,40.75347137,1,1,5.8
7.5,2.2,0.0,0.5,8,1,0,2,0,40.74710846,1,1,11.0
15.0,4.89,0.0,0.5,14,1,2,2,0,40.71347809,5,1,21.19
8.5,2.45,0.0,0.5,11,1,0,2,0,40.7345314,1,1,12.25
15.0,3.26,0.0,0.5,18,1,2,2,0,40.72602844,6,1,19.56
14.0,3.0,0.0,0.5,14,1,2,2,0,40.7768631,3,1,18.3
26.5,4.0,0.0,0.5,15,1,2,2,0,40.73581696,6,1,31.8
4.0,0.0,0.0,0.5,3,2,0,2,0,40.72983551,1,1,5.3
9.5,0.0,0.0,0.5,8,2,0,1,0,40.68948746,1,1,10.8
15.5,2.0,0.0,0.5,15,1,2,2,0,40.81033325,1,1,18.8
9.0,1.0,0.0,0.5,10,1,0,1,0,40.73427582,1,1,11.3
34.5,0.0,0.0,0.5,27,1,2,2,0,40.74325562,1,1,35.8
5.5,1.0,0.0,0.5,3,1,0,1,0,40.74206924,1,1,7.8
22.5,4.75,0.0,0.5,21,1,2,1,0,40.68077087,1,1,28.55
7.5,1.75,0.0,0.5,8,1,0,1,0,40.76203918,1,1,10.55
19.0,4.06,0.0,0.5,12,1,2,1,0,40.74215317,1,1,24.36
16.5,2.0,0.0,0.5,14,1,2,2,0,40.79024124,1,1,19.8
5.0,1.25,0.0,0.5,4,1,0,1,0,40.75235367,1,1,7.55
15.0,0.0,0.0,0.5,19,2,0,1,0,40.71963882,1,1,16.3
27.5,0.0,0.0,0.5,16,2,2,2,0,40.72154999,1,1,28.8
6.5,1.56,0.0,0.5,7,1,0,2,0,40.76841354,4,1,9.36
29.0,6.06,0.0,0.5,17,1,2,2,0,40.71591187,1,1,36.36
9.5,0.0,0.0,0.5,8,2,0,2,0,40.8056488,1,1,10.8
6.0,1.46,0.0,0.5,5,1,0,2,0,40.71855164,1,1,8.76
7.5,0.0,0.0,0.5,8,2,0,2,0,40.73345184,2,1,8.8
8.0,2.3,0.0,0.5,9,1,0,1,0,40.67429352,1,1,11.6
7.0,1.65,0.0,0.5,8,1,0,1,0,40.70624542,1,1,9.95
6.0,0.0,0.0,0.5,5,1,0,2,0,40.73477936,3,1,7.3
5.0,1.26,0.0,0.5,4,1,0,2,0,40.73123932,5,1,7.56
21.5,2.0,5.54,0.5,15,1,2,2,0,40.77202988,1,1,30.34
17.5,0.0,0.0,0.5,16,2,2,2,0,40.77154922,2,1,18.8
6.0,0.0,0.0,0.5,6,2,0,2,0,40.75009155,1,1,7.3
4.5,1.0,0.0,0.5,4,1,0,1,0,40.72703171,1,1,6.8
10.0,2.26,0.0,0.5,8,1,0,2,0,40.79051208,2,1,13.56
10.5,1.0,0.0,0.5,12,1,0,2,0,40.74585342,3,1,12.8
10.5,2.0,0.0,0.5,10,1,0,2,0,40.77882385,1,1,13.8
6.0,0.0,0.0,0.5,6,2,0,1,0,40.7563591,1,1,7.3
6.5,1.0,0.0,0.5,9,1,0,2,0,40.60926056,1,1,8.8
8.5,2.94,0.0,0.5,8,1,0,2,0,40.71889114,2,1,12.74
12.0,2.0,0.0,0.5,13,1,0,2,0,40.70756149,1,1,15.3
15.5,0.0,0.0,0.5,10,2,2,2,0,40.70896149,1,1,16.8
9.5,1.0,0.0,0.5,8,1,0,2,0,40.73230362,1,1,11.8
11.5,2.0,0.0,0.5,12,1,0,1,0,40.7281723,1,1,14.8
5.5,0.0,0.0,0.5,5,2,0,1,0,40.75673676,1,1,6.8
12.0,2.66,0.0,0.5,13,1,0,2,0,40.78435898,1,1,15.96
15.0,3.26,0.0,0.5,15,1,2,2,0,40.73490524,1,1,19.56
17.0,3.1,0.0,0.5,14,1,2,2,0,40.84296036,1,1,21.4
4.5,0.0,0.0,0.5,3,1,0,2,0,40.80189896,1,1,5.8
6.5,1.55,0.0,0.5,6,1,0,1,0,40.76893234,1,1,9.35
29.0,6.05,0.0,0.5,22,1,2,1,0,40.65417862,1,1,36.35
4.0,0.0,0.0,0.5,4,2,0,2,0,40.79091644,3,1,5.3
7.0,0.0,0.0,0.5,6,3,0,1,0,40.71928024,1,1,8.3
10.5,0.0,0.0,0.5,11,2,0,1,0,40.77033234,1,1,11.8
7.0,1.0,0.0,0.5,7,1,0,1,0,40.69405746,1,1,9.3
17.5,3.76,0.0,0.5,12,1,2,1,0,40.80948257,1,1,22.56
7.5,2.64,0.0,0.5,8,1,0,2,0,40.73814392,1,1,11.44
11.5,2.56,0.0,0.5,11,1,0,2,0,40.7199707,1,1,15.36
4.0,0.0,0.0,0.5,3,2,0,2,0,40.71672058,2,1,5.3
12.0,3.32,0.0,0.5,11,1,0,2,0,0.0,1,1,16.62
12.5,4.1,0.0,0.5,12,1,2,1,0,40.74867249,1,1,17.9
4.5,2.0,0.0,0.5,3,1,0,1,0,40.75306702,1,1,7.8
7.0,0.0,0.0,0.5,7,2,0,2,0,40.73762512,1,1,8.3
6.0,0.0,0.0,0.5,7,2,0,1,0,40.75478363,1,1,7.3
17.5,0.0,0.0,0.5,16,2,2,2,0,40.79297638,1,1,18.8
14.0,2.0,0.0,0.5,8,1,2,2,0,40.84827042,1,1,17.3
7.0,1.66,0.0,0.5,8,1,0,2,0,40.76599884,1,1,9.96
9.0,3.05,0.0,0.5,8,1,0,1,0,40.73129272,2,1,13.35
5.0,4.0,0.0,0.5,5,1,0,1,0,40.68935776,1,1,10.3
20.0,0.0,0.0,0.5,20,2,2,2,0,40.72565842,1,1,21.3
6.5,1.95,0.0,0.5,5,1,0,2,0,40.74768829,6,1,9.75
12.5,2.76,0.0,0.5,15,1,0,1,0,40.75631714,1,1,16.56
8.0,1.86,0.0,0.5,7,1,0,2,0,40.78361893,6,1,11.16
5.5,1.36,0.0,0.5,5,1,0,2,0,40.76502609,1,1,8.16
13.0,1.0,0.0,0.5,14,1,0,2,0,40.75630951,1,1,15.3
8.0,2.32,0.0,0.5,10,1,0,2,0,40.76688385,1,1,11.62
11.0,3.07,0.0,0.5,13,1,0,1,0,40.76454163,4,1,15.37
13.0,1.0,0.0,0.5,15,1,0,2,0,40.76095963,6,1,15.3
14.0,0.0,0.0,0.5,13,2,0,1,0,40.74953079,1,1,15.3
3.0,0.0,0.0,0.5,1,2,0,1,0,40.75021362,2,1,4.3
12.0,3.32,0.0,0.5,12,1,0,2,0,40.71376419,1,1,16.62
24.5,5.16,0.0,0.5,18,1,2,2,0,40.83939362,5,1,30.96
11.5,2.55,0.0,0.5,12,1,0,1,0,40.7746048,1,1,15.35
33.0,5.0,0.0,0.5,26,1,2,1,0,40.71068954,1,1,39.3
5.5,1.36,0.0,0.5,4,1,0,2,0,40.7472496,1,1,8.16
27.5,0.0,0.0,0.5,21,2,2,1,0,40.83351898,2,1,28.8
4.5,1.15,0.0,0.5,4,1,0,1,0,40.71660233,1,1,6.95
4.0,2.0,0.0,0.5,3,1,0,1,0,40.77064514,1,1,7.3
5.0,2.0,0.0,0.5,4,1,0,1,0,40.74972916,1,1,8.3
7.0,1.66,0.0,0.5,6,1,0,2,0,40.72655106,1,1,9.96
4.5,1.16,0.0,0.5,4,1,0,2,0,40.76401138,1,1,6.96
10.5,2.95,0.0,0.5,11,1,0,2,0,40.73810959,1,1,14.75
23.5,6.2,0.0,0.5,24,1,2,2,0,40.69880676,6,1,31.0
7.0,1.65,0.0,0.5,8,1,0,1,0,40.76885223,1,1,9.95
3.5,0.96,0.0,0.5,2,1,0,2,0,40.71852112,1,1,5.76
31.5,7.67,5.54,0.5,24,1,1,2,1,40.74037552,1,1,46.01
3.5,0.96,0.0,0.5,2,1,0,2,1,40.76784134,1,1,5.76
27.0,1.7,0.0,0.5,20,1,2,2,1,40.84886932,3,1,30.0
11.5,2.56,0.0,0.5,8,1,0,2,1,40.76366043,1,1,15.36
7.5,0.0,0.0,0.5,8,1,0,2,1,40.78046036,5,1,8.8
13.0,0.0,0.0,0.5,12,2,0,2,1,40.77767944,1,1,14.3
5.0,1.25,0.0,0.5,5,1,0,1,1,40.72248077,1,1,7.55
6.0,1.45,0.0,0.5,6,1,0,1,1,40.72363281,1,1,8.75
7.0,1.66,0.0,0.5,7,1,0,2,1,40.74861145,4,1,9.96
9.5,3.24,0.0,0.5,10,1,0,2,1,40.73122025,2,1,14.04
10.5,0.0,0.0,0.5,14,2,0,2,1,40.73361969,6,1,11.8
7.0,1.66,0.0,0.5,7,1,0,1,1,40.73546219,1,1,9.96
18.0,4.82,0.0,0.5,19,1,2,2,1,40.76604843,1,1,24.12
9.5,1.5,0.0,0.5,9,1,0,2,1,40.71583557,1,1,12.3
12.5,2.75,0.0,0.5,13,1,0,1,1,40.80103302,1,1,16.55
12.5,3.45,0.0,0.5,14,1,0,1,1,40.77481842,1,1,17.25
6.0,1.36,0.0,0.5,211,1,0,2,122,40.76029968,1,1,8.16
13.0,1.5,0.0,0.5,221,1,0,2,122,40.75091934,2,1,15.3
8.5,1.86,0.0,0.5,212,1,0,2,122,40.76005936,2,1,11.16
15.5,0.0,0.0,0.5,221,2,2,2,122,40.76250076,1,1,16.3
7.0,1.95,0.0,0.5,214,1,0,2,122,40.75705338,5,1,9.75
6.5,0.0,0.0,0.5,212,2,0,2,122,40.77407074,1,1,7.3
9.0,2.0,0.0,0.5,214,1,0,2,122,40.75341797,3,1,11.8
5.0,1.45,0.0,0.5,210,1,0,2,122,40.77129364,1,1,7.25
5.5,1.26,0.0,0.5,211,1,0,2,122,40.75934219,1,1,7.56
11.5,3.08,0.0,0.5,221,1,0,2,122,40.70589066,1,1,15.38
9.5,0.0,0.0,0.5,214,1,0,2,122,40.75039673,1,1,10.3
3.5,0.0,0.0,0.5,208,2,0,2,122,40.77360153,1,1,4.3
5.5,1.26,0.0,0.5,210,1,0,2,122,40.79201126,1,1,7.56
6.0,1.7,0.0,0.5,211,1,0,2,122,40.75529099,1,1,8.5
6.0,1.36,0.0,0.5,210,1,0,2,122,40.70647049,1,1,8.16
18.5,4.82,0.0,0.5,232,1,2,2,122,40.71401215,1,1,24.12
16.0,2.0,0.0,0.5,224,1,2,2,122,40.72108841,1,1,18.8
22.0,4.56,0.0,0.5,225,1,2,2,122,40.71470261,1,1,27.36
5.0,1.0,0.0,0.5,209,1,0,2,122,40.73810959,1,1,6.8
7.5,1.66,0.0,0.5,214,1,0,2,122,40.73564148,1,1,9.96
8.5,1.86,0.0,0.5,213,1,0,2,122,40.76021957,1,1,11.16
8.0,1.76,0.0,0.5,214,1,0,2,122,40.75156021,2,1,10.56
9.5,2.06,0.0,0.5,214,1,0,2,122,40.71514893,5,1,12.36
11.0,1.5,0.0,0.5,219,1,0,2,122,40.75695038,2,1,13.3
14.0,0.0,0.0,0.5,222,2,0,2,122,40.7643013,1,1,14.8
6.0,1.36,0.0,0.5,212,1,0,2,122,40.74266815,1,1,8.16
7.0,0.0,0.0,0.5,213,2,0,2,122,40.75509644,1,1,7.8
6.5,1.82,0.0,0.5,212,1,0,2,122,40.75979996,1,1,9.12
7.5,2.08,0.0,0.5,213,1,0,2,122,40.80487061,1,1,10.38
7.5,2.49,0.0,0.5,217,1,0,2,122,40.7698555,1,1,10.79
4.5,0.0,0.0,0.5,209,2,0,2,122,40.74266815,1,1,5.3
19.5,0.0,0.0,0.5,228,2,2,2,122,40.77732849,1,1,20.3
6.0,0.0,0.0,0.5,212,2,0,2,122,40.74889755,1,1,6.8
6.0,1.36,0.0,0.5,211,1,0,2,122,40.75059128,2,1,8.16
11.5,0.0,0.0,0.5,219,2,0,2,122,40.75366974,3,1,12.3
11.5,2.46,0.0,0.5,218,1,0,2,122,40.76150513,3,1,14.76
3.5,0.0,0.0,0.5,208,2,0,2,122,40.77906036,1,1,4.3
7.5,0.0,0.0,0.5,214,2,0,2,122,40.80657196,1,1,8.3
4.5,0.5,0.0,0.5,209,1,0,2,122,40.7531395,1,1,5.8
8.5,1.86,0.0,0.5,215,1,0,2,122,40.78402328,1,1,11.16
5.5,2.0,0.0,0.5,211,1,0,2,122,40.73709488,1,1,8.3
3.5,0.86,0.0,0.5,208,1,0,2,122,40.75946045,5,1,5.16
3.5,0.86,0.0,0.5,208,1,0,2,122,40.70314026,1,1,5.16
8.0,0.0,0.0,0.5,214,2,0,2,122,40.72583008,2,1,8.8
7.0,1.2,0.0,0.5,214,1,0,2,122,40.76071548,5,1,9.0
7.0,1.56,0.0,0.5,212,1,0,2,122,40.77413559,1,1,9.36
5.5,1.0,0.0,0.5,210,1,0,2,122,40.74437332,6,1,7.3
14.0,2.96,0.0,0.5,224,1,0,2,122,40.7497406,1,1,17.76
5.5,1.0,0.0,0.5,211,1,0,2,122,40.79354858,1,1,7.3
11.5,0.0,0.0,0.5,219,2,0,2,122,40.741642,1,1,12.3
5.5,1.26,0.0,0.5,211,1,0,2,122,40.76824951,2,1,7.56
5.0,1.16,0.0,0.5,210,1,0,2,122,40.73841095,1,1,6.96
5.0,0.0,0.0,0.5,211,2,0,2,122,40.76023865,1,1,5.8
12.5,1.5,0.0,0.5,220,1,0,2,122,40.71445084,1,1,14.8
7.5,1.66,0.0,0.5,212,1,0,2,122,40.7555809,4,1,9.96
6.5,0.0,0.0,0.5,213,2,0,2,122,40.75815964,1,1,7.3
4.5,0.0,0.0,0.5,209,1,0,2,122,40.82363892,5,1,5.3
